City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,295.68,80,31,0.21,PN,1697682623
1,albany,42.6001,-73.9662,283.48,90,85,0.98,US,1697682644
2,uwajima,33.2238,132.56,296.51,60,6,3.08,JP,1697682913
3,daru,-9.0763,143.2092,301.76,69,100,4.39,PG,1697682695
4,carnarvon,-24.8667,113.6333,301.1,45,100,7.22,AU,1697682657
5,tazacorte,28.629,-17.9293,294.69,81,0,3.13,ES,1697682644
6,port-aux-francais,-49.35,70.2167,274.4,77,92,10.52,TF,1697682913
7,yellowknife,62.456,-114.3525,280.05,100,100,4.12,CA,1697682362
8,broken hill,-31.95,141.4333,301.15,14,0,1.76,AU,1697682647
9,chibougamau,49.9168,-74.3659,279.94,76,100,3.6,CA,1697682740
10,puerto natales,-51.7236,-72.4875,279.2,93,100,1.78,CL,1697682913
11,port augusta,-32.5,137.7667,304.97,10,4,3.07,AU,1697682671
12,meadow lake,34.8014,-106.5436,296.86,23,0,1.59,US,1697682914
13,hukumati azrah,34.1736,69.6457,282.98,47,0,1.03,AF,1697682914
14,isafjordur,66.0755,-23.124,280.2,77,100,3.78,IS,1697682914
15,kaohsiung,22.6163,120.3133,304.12,63,40,3.13,TW,1697682914
16,dryden,49.7833,-92.7503,283.31,93,100,1.54,CA,1697682717
17,grytviken,-54.2811,-36.5092,276.75,69,100,4.37,GS,1697682914
18,margaret river,-33.95,115.0667,290.42,53,82,4.38,AU,1697682914
19,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697682915
20,nemuro,43.3236,145.575,288.61,80,100,9.13,JP,1697682915
21,edinburgh of the seven seas,-37.0676,-12.3116,287.02,93,68,8.54,SH,1697682915
22,yelizovo,53.1873,158.3805,287.23,44,0,6.0,RU,1697682915
23,puerto ayora,-0.7393,-90.3518,297.34,96,82,1.34,EC,1697682621
24,avarua,-21.2078,-159.775,297.18,64,75,4.12,CK,1697682915
25,monrovia,6.3005,-10.7969,298.48,86,100,0.83,LR,1697682915
26,pajeczno,51.1445,18.9961,278.09,65,100,4.02,PL,1697682916
27,west island,-12.1568,96.8225,300.14,78,40,6.17,CC,1697682916
28,minas de marcona,-15.2119,-75.1103,292.67,70,78,0.37,PE,1697682675
29,magadan,59.5667,150.8,274.56,75,29,4.92,RU,1697682694
30,salinopolis,-0.6136,-47.3561,300.21,78,29,6.01,BR,1697682916
31,mil'kovo,55.6078,37.7956,277.78,97,100,2.72,RU,1697682665
32,shushtar,32.0455,48.8567,298.75,31,100,3.05,IR,1697682916
33,hermanus,-34.4187,19.2345,289.23,85,57,8.2,ZA,1697682640
34,kerikeri,-35.2268,173.9474,290.26,82,100,3.88,NZ,1697682378
35,pontes e lacerda,-15.2261,-59.3353,300.97,42,23,0.93,BR,1697682917
36,waitangi,-43.9535,-176.5597,285.83,80,88,3.58,NZ,1697682917
37,bethel,41.3712,-73.414,287.35,83,100,2.06,US,1697682917
38,jumla,29.2747,82.1838,285.11,36,0,1.0,NP,1697682917
39,veraval,20.9,70.3667,301.38,46,1,3.59,IN,1697682917
40,port blair,11.6667,92.75,301.17,83,75,2.57,IN,1697682677
41,malango,-2.9627,119.9001,302.63,51,78,2.27,ID,1697682670
42,zambezi,-13.5432,23.1047,294.04,67,64,0.35,ZM,1697682918
43,blackmans bay,-43.0167,147.3167,293.44,61,100,1.34,AU,1697682618
44,ribas do rio pardo,-20.4431,-53.7592,302.52,43,91,4.64,BR,1697682918
45,tazovsky,67.4667,78.7,277.35,96,100,5.05,RU,1697682625
46,swanage,50.6092,-1.9626,289.82,93,83,15.2,GB,1697682675
47,nogliki,51.8333,143.1667,278.9,83,100,1.79,RU,1697682918
48,jamestown,42.097,-79.2353,282.99,75,0,2.24,US,1697682555
